"","Ubigeo","Distrito","por_ur"
"375","010612","Dpto. Amazonas   Prov. Rodriguez de Mendoza   Dist. Vista Alegre",21.23
"380","010701","Dpto. Amazonas   Prov. Utcubamba   Dist. Bagua Grande",62.34
"385","010702","Dpto. Amazonas   Prov. Utcubamba   Dist. Cajaruro",30.59
"390","010703","Dpto. Amazonas   Prov. Utcubamba   Dist. Cumba",30.36
"395","010704","Dpto. Amazonas   Prov. Utcubamba   Dist. El Milagro",26.59
"400","010705","Dpto. Amazonas   Prov. Utcubamba   Dist. Jamalca",18.33
"405","010706","Dpto. Amazonas   Prov. Utcubamba   Dist. Lonya Grande",32.86
"410","010707","Dpto. Amazonas   Prov. Utcubamba   Dist. Yamon",19.06
"415","020101","Dpto. Ancash   Prov. Huaraz   Dist. Huaraz",89.66
"420","020102","Dpto. Ancash   Prov. Huaraz   Dist. Cochabamba",22.96
"425","020103","Dpto. Ancash   Prov. Huaraz   Dist. Colcabamba",54.98
"430","020104","Dpto. Ancash   Prov. Huaraz   Dist. Huanchay",15.81
"435","020105","Dpto. Ancash   Prov. Huaraz   Dist. Independencia",80.43
"440","020106","Dpto. Ancash   Prov. Huaraz   Dist. Jangas",40.06
"445","020107","Dpto. Ancash   Prov. Huaraz   Dist. La Libertad",26.56
"450","020108","Dpto. Ancash   Prov. Huaraz   Dist. Olleros",53.93
"455","020109","Dpto. Ancash   Prov. Huaraz   Dist. Pampas",31.45
"460","020110","Dpto. Ancash   Prov. Huaraz   Dist. Pariacoto",29.18
"465","020111","Dpto. Ancash   Prov. Huaraz   Dist. Pira",13.24
"470","020112","Dpto. Ancash   Prov. Huaraz   Dist. Tarica",28.18
"475","020201","Dpto. Ancash   Prov. Aija   Dist. Aija",52.26
"480","020202","Dpto. Ancash   Prov. Aija   Dist. Coris",21.36
"485","020203","Dpto. Ancash   Prov. Aija   Dist. Huacllan",59.71
"490","020204","Dpto. Ancash   Prov. Aija   Dist. La Merced",12.92
"495","020205","Dpto. Ancash   Prov. Aija   Dist. Succha",41.1
"500","020301","Dpto. Ancash   Prov. Antonio Raymondi   Dist. Llamellin",46.95
"505","020302","Dpto. Ancash   Prov. Antonio Raymondi   Dist. Aczo",19.51
"510","020303","Dpto. Ancash   Prov. Antonio Raymondi   Dist. Chaccho",30.15
"515","020304","Dpto. Ancash   Prov. Antonio Raymondi   Dist. Chingas",35.15
"520","020305","Dpto. Ancash   Prov. Antonio Raymondi   Dist. Mirgas",12.49
"525","020306","Dpto. Ancash   Prov. Antonio Raymondi   Dist. San Juan de Rontoy",13.78
"530","020401","Dpto. Ancash   Prov. Asunci<U+00F3>n   Dist. Chacas",39.03
"535","020402","Dpto. Ancash   Prov. Asunci<U+00F3>n   Dist. Acochaca",5.91
"540","020501","Dpto. Ancash   Prov. Bolognesi   Dist. Chiquian",90.97
"545","020502","Dpto. Ancash   Prov. Bolognesi   Dist. Abelardo Pardo Lezameta",71.83
"550","020503","Dpto. Ancash   Prov. Bolognesi   Dist. Antonio Raymondi",27.83
"555","020504","Dpto. Ancash   Prov. Bolognesi   Dist. Aquia",51.75
"560","020505","Dpto. Ancash   Prov. Bolognesi   Dist. Cajacay",37.72
"565","020506","Dpto. Ancash   Prov. Bolognesi   Dist. Canis",95.8
"570","020507","Dpto. Ancash   Prov. Bolognesi   Dist. Colquioc",51.4
"575","020508","Dpto. Ancash   Prov. Bolognesi   Dist. Huallanca",58.54
"580","020509","Dpto. Ancash   Prov. Bolognesi   Dist. Huasta",66.39
"585","020510","Dpto. Ancash   Prov. Bolognesi   Dist. Huayllacayan",20.22
"590","020511","Dpto. Ancash   Prov. Bolognesi   Dist. La Primavera",76.1
"595","020512","Dpto. Ancash   Prov. Bolognesi   Dist. Mangas",79.93
"600","020513","Dpto. Ancash   Prov. Bolognesi   Dist. Pacllon",86.66
"605","020514","Dpto. Ancash   Prov. Bolognesi   Dist. San Miguel de Corpanqui",76.83
"610","020515","Dpto. Ancash   Prov. Bolognesi   Dist. Ticllos",93.87
"615","020601","Dpto. Ancash   Prov. Carhuaz   Dist. Carhuaz",52.33
"620","020602","Dpto. Ancash   Prov. Carhuaz   Dist. Acopampa",34.77
"625","020603","Dpto. Ancash   Prov. Carhuaz   Dist. Amashca",44.32
"630","020604","Dpto. Ancash   Prov. Carhuaz   Dist. Anta",25.93
"635","020605","Dpto. Ancash   Prov. Carhuaz   Dist. Ataquero",18.36
"640","020606","Dpto. Ancash   Prov. Carhuaz   Dist. Marcara",14.88
"645","020607","Dpto. Ancash   Prov. Carhuaz   Dist. Pariahuanca",35.91
"650","020608","Dpto. Ancash   Prov. Carhuaz   Dist. San Miguel de Aco",12.62
"655","020609","Dpto. Ancash   Prov. Carhuaz   Dist. Shilla",39.57
"660","020610","Dpto. Ancash   Prov. Carhuaz   Dist. Tinco",37.36
"665","020611","Dpto. Ancash   Prov. Carhuaz   Dist. Yungar",18.84
"670","020701","Dpto. Ancash   Prov. Carlos Fermin Fitzcarrald   Dist. San Luis",18.49
"675","020702","Dpto. Ancash   Prov. Carlos Fermin Fitzcarrald   Dist. San Nicolas",15.17
"680","020703","Dpto. Ancash   Prov. Carlos Fermin Fitzcarrald   Dist. Yauya",10.76
"685","020801","Dpto. Ancash   Prov. Casma   Dist. Casma",86.16
"690","020802","Dpto. Ancash   Prov. Casma   Dist. Buena Vista Alta",25.93
"695","020803","Dpto. Ancash   Prov. Casma   Dist. Comandante Noel",48.25
"700","020804","Dpto. Ancash   Prov. Casma   Dist. Yautan",34.55
"705","020901","Dpto. Ancash   Prov. Corongo   Dist. Corongo",72.31
"710","020902","Dpto. Ancash   Prov. Corongo   Dist. Aco",52.3
"715","020903","Dpto. Ancash   Prov. Corongo   Dist. Bambas",31.8
"720","020904","Dpto. Ancash   Prov. Corongo   Dist. Cusca",17.69
"725","020905","Dpto. Ancash   Prov. Corongo   Dist. La pampa",73.63
"730","020906","Dpto. Ancash   Prov. Corongo   Dist. Yanac",41.63
"735","020907","Dpto. Ancash   Prov. Corongo   Dist. Yupan",90.78
"740","021001","Dpto. Ancash   Prov. Huari   Dist. Huari",49.57
"745","021002","Dpto. Ancash   Prov. Huari   Dist. Anra",23.11
"750","021003","Dpto. Ancash   Prov. Huari   Dist. Cajay",21.11
"755","021004","Dpto. Ancash   Prov. Huari   Dist. Chavin de Huantar",23.15
"760","021005","Dpto. Ancash   Prov. Huari   Dist. Huacachi",39.27
"765","021006","Dpto. Ancash   Prov. Huari   Dist. Huacchis",68.13
"770","021007","Dpto. Ancash   Prov. Huari   Dist. Huachis",33.95
"775","021008","Dpto. Ancash   Prov. Huari   Dist. Huantar",28.54
"780","021009","Dpto. Ancash   Prov. Huari   Dist. Masin",39.58
"785","021010","Dpto. Ancash   Prov. Huari   Dist. Paucas",78.47
"790","021011","Dpto. Ancash   Prov. Huari   Dist. Ponto",22.06
"795","021012","Dpto. Ancash   Prov. Huari   Dist. Rahuapampa",64.95
"800","021013","Dpto. Ancash   Prov. Huari   Dist. Rapayan",45.72
"805","021014","Dpto. Ancash   Prov. Huari   Dist. San marcos",27.51
"810","021015","Dpto. Ancash   Prov. Huari   Dist. San Pedro de Chana",36.13
"815","021016","Dpto. Ancash   Prov. Huari   Dist. Uco",46.64
"820","021101","Dpto. Ancash   Prov. Huarmey   Dist. Huarmey",84.75
"825","021102","Dpto. Ancash   Prov. Huarmey   Dist. Cochapeti",29.01
"830","021103","Dpto. Ancash   Prov. Huarmey   Dist. Culebras",53.86
"835","021104","Dpto. Ancash   Prov. Huarmey   Dist. Huayan",39.45
"840","021105","Dpto. Ancash   Prov. Huarmey   Dist. Malvas",34.64
"845","021201","Dpto. Ancash   Prov. Huaylas   Dist. Caraz",56.53
"850","021202","Dpto. Ancash   Prov. Huaylas   Dist. Huallanca",41.88
"855","021203","Dpto. Ancash   Prov. Huaylas   Dist. Huata",14.17
"860","021204","Dpto. Ancash   Prov. Huaylas   Dist. Huaylas",30.41
"865","021205","Dpto. Ancash   Prov. Huaylas   Dist. Mato",51.16
"870","021206","Dpto. Ancash   Prov. Huaylas   Dist. Pamparomas",4.78
"875","021207","Dpto. Ancash   Prov. Huaylas   Dist. Pueblo Libre",5.47
"880","021208","Dpto. Ancash   Prov. Huaylas   Dist. Santa Cruz",6.84
"885","021209","Dpto. Ancash   Prov. Huaylas   Dist. Santo Toribio",22.74
"890","021210","Dpto. Ancash   Prov. Huaylas   Dist. Yuracmarca",26.54
"895","021301","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Piscobamba",37.44
"900","021302","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Casca",4.93
"905","021303","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Eleazar Guzman Barron",15.3
"910","021304","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Fidel Olivas Escudero",9.4
"915","021305","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Llama",12.57
"920","021306","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Llumpa",5.7
"925","021307","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Lucma",4.57
"930","021308","Dpto. Ancash   Prov. Mariscal Luzuriaga   Dist. Musga",20.38
"935","021401","Dpto. Ancash   Prov. Ocros   Dist. Ocros",61.09
"940","021402","Dpto. Ancash   Prov. Ocros   Dist. Acas",55.3
"945","021403","Dpto. Ancash   Prov. Ocros   Dist. Cajamarquilla",98.14
"950","021404","Dpto. Ancash   Prov. Ocros   Dist. Carhuapampa",79.39
"955","021405","Dpto. Ancash   Prov. Ocros   Dist. Cochas",18.34
"960","021406","Dpto. Ancash   Prov. Ocros   Dist. Congas",69.05
"965","021407","Dpto. Ancash   Prov. Ocros   Dist. Llipa",74.38
"970","021408","Dpto. Ancash   Prov. Ocros   Dist. San Cristobal de Rajan",78.5
"975","021409","Dpto. Ancash   Prov. Ocros   Dist. San Pedro",33.24
"980","021410","Dpto. Ancash   Prov. Ocros   Dist. Santiago de Chilcas",82.74
"985","021501","Dpto. Ancash   Prov. Pallasca   Dist. Cabana",66.69
"990","021502","Dpto. Ancash   Prov. Pallasca   Dist. Bolognesi",34.38
"995","021503","Dpto. Ancash   Prov. Pallasca   Dist. Conchucos",55.26
"1000","021504","Dpto. Ancash   Prov. Pallasca   Dist. Huacaschuque",36.07
"1005","021505","Dpto. Ancash   Prov. Pallasca   Dist. Huandoval",61.98
"1010","021506","Dpto. Ancash   Prov. Pallasca   Dist. Lacabamba",57.62
"1015","021507","Dpto. Ancash   Prov. Pallasca   Dist. Llapo",98.69
"1020","021508","Dpto. Ancash   Prov. Pallasca   Dist. Pallasca",41.04
"1025","021509","Dpto. Ancash   Prov. Pallasca   Dist. Pampas",49.87
"1030","021510","Dpto. Ancash   Prov. Pallasca   Dist. Santa rosa",33.04
"1035","021511","Dpto. Ancash   Prov. Pallasca   Dist. Tauca",44.9
"1040","021601","Dpto. Ancash   Prov. Pomabamba   Dist. Pomabamba",30.1
"1045","021602","Dpto. Ancash   Prov. Pomabamba   Dist. Huayllan",12.77
"1050","021603","Dpto. Ancash   Prov. Pomabamba   Dist. Parobamba",13.31
"1055","021604","Dpto. Ancash   Prov. Pomabamba   Dist. Quinuabamba",10.67
"1060","021701","Dpto. Ancash   Prov. Recuay   Dist. Recuay",60.22
"1065","021702","Dpto. Ancash   Prov. Recuay   Dist. Catac",59.59
"1070","021703","Dpto. Ancash   Prov. Recuay   Dist. Cotaparaco",65.51
"1075","021704","Dpto. Ancash   Prov. Recuay   Dist. Huayllapampa",59.25
"1080","021705","Dpto. Ancash   Prov. Recuay   Dist. Llacllin",50.99
"1085","021706","Dpto. Ancash   Prov. Recuay   Dist. Marca",60.25
"1090","021707","Dpto. Ancash   Prov. Recuay   Dist. Pampas Chico",50.93
"1095","021708","Dpto. Ancash   Prov. Recuay   Dist. Pararin",29.26
"1100","021709","Dpto. Ancash   Prov. Recuay   Dist. Tapacocha",59.43
"1105","021710","Dpto. Ancash   Prov. Recuay   Dist. Ticapampa",61.62
"1110","021801","Dpto. Ancash   Prov. Santa   Dist. Chimbote",96.14
"1115","021802","Dpto. Ancash   Prov. Santa   Dist. C<U+00E1>ceres del Per<U+00FA>",23.15
"1120","021803","Dpto. Ancash   Prov. Santa   Dist. Coishco",100
"1124","021804","Dpto. Ancash   Prov. Santa   Dist. Macate",8.25
"1129","021805","Dpto. Ancash   Prov. Santa   Dist. Moro",43.69
"1134","021806","Dpto. Ancash   Prov. Santa   Dist. Nepe<U+00F1>a",90.58
"1139","021807","Dpto. Ancash   Prov. Santa   Dist. Samanco",66.26
"1144","021808","Dpto. Ancash   Prov. Santa   Dist. Santa",87.47
"1149","021809","Dpto. Ancash   Prov. Santa   Dist. Nuevo Chimbote",99.19
"1154","021901","Dpto. Ancash   Prov. Sihuas   Dist. Sihuas",72.44
"1159","021902","Dpto. Ancash   Prov. Sihuas   Dist. Acobamba",13.12
"1164","021903","Dpto. Ancash   Prov. Sihuas   Dist. Alfonso Ugarte",29.52
"1169","021904","Dpto. Ancash   Prov. Sihuas   Dist. Cashapampa",5.19
"1174","021905","Dpto. Ancash   Prov. Sihuas   Dist. Chingalpo",46.93
"1179","021906","Dpto. Ancash   Prov. Sihuas   Dist. Huayllabamba",27.47
"1184","021907","Dpto. Ancash   Prov. Sihuas   Dist. Quiches",22.56
"1189","021908","Dpto. Ancash   Prov. Sihuas   Dist. Ragash",14.55
"1194","021909","Dpto. Ancash   Prov. Sihuas   Dist. San juan",3.65
"1199","021910","Dpto. Ancash   Prov. Sihuas   Dist. Sicsibamba",15.9
"1204","022001","Dpto. Ancash   Prov. Yungay   Dist. Yungay",42.09
"1209","022002","Dpto. Ancash   Prov. Yungay   Dist. Cascapara",7.66
"1214","022003","Dpto. Ancash   Prov. Yungay   Dist. Mancos",30.39
"1219","022004","Dpto. Ancash   Prov. Yungay   Dist. Matacoto",14.71
"1224","022005","Dpto. Ancash   Prov. Yungay   Dist. Quillo",4.93
"1229","022006","Dpto. Ancash   Prov. Yungay   Dist. Ranrahirca",33.22
"1234","022007","Dpto. Ancash   Prov. Yungay   Dist. Shupluy",7.57
"1239","022008","Dpto. Ancash   Prov. Yungay   Dist. Yanama",7.97
"1244","030101","Dpto. Apurimac   Prov. Abancay   Dist. Abancay",89.53
"1249","030102","Dpto. Apurimac   Prov. Abancay   Dist. Chacoche",72.22
"1254","030103","Dpto. Apurimac   Prov. Abancay   Dist. Circa",13.65
"1259","030104","Dpto. Apurimac   Prov. Abancay   Dist. Curahuasi",26.54
"1264","030105","Dpto. Apurimac   Prov. Abancay   Dist. Huanipaca",20.16
"1269","030106","Dpto. Apurimac   Prov. Abancay   Dist. Lambrama",30.5
"1274","030107","Dpto. Apurimac   Prov. Abancay   Dist. Pichirhua",11.82
"1279","030108","Dpto. Apurimac   Prov. Abancay   Dist. San Pedro de Cachora",22.8
"1284","030109","Dpto. Apurimac   Prov. Abancay   Dist. Tamburco",76.13
"1289","030201","Dpto. Apurimac   Prov. Andahuaylas   Dist. Andahuaylas",72.89
"1294","030202","Dpto. Apurimac   Prov. Andahuaylas   Dist. Andarapa",8.94
"1299","030203","Dpto. Apurimac   Prov. Andahuaylas   Dist. Chiara",60.13
"1304","030204","Dpto. Apurimac   Prov. Andahuaylas   Dist. Huancarama",45.28
"1309","030205","Dpto. Apurimac   Prov. Andahuaylas   Dist. Huancaray",9.32
"1314","030206","Dpto. Apurimac   Prov. Andahuaylas   Dist. Huayana",56.09
"1319","030207","Dpto. Apurimac   Prov. Andahuaylas   Dist. Kishuara",16.99
"1324","030208","Dpto. Apurimac   Prov. Andahuaylas   Dist. Pacobamba",7.52
"1329","030209","Dpto. Apurimac   Prov. Andahuaylas   Dist. Pacucha",11.6
"1334","030210","Dpto. Apurimac   Prov. Andahuaylas   Dist. Pampachiri",27.85
"1339","030211","Dpto. Apurimac   Prov. Andahuaylas   Dist. Pomacocha",71.09
"1344","030212","Dpto. Apurimac   Prov. Andahuaylas   Dist. San Antonio de cachi",41.75
"1349","030213","Dpto. Apurimac   Prov. Andahuaylas   Dist. San Jer<U+00F3>nimo",45.41
"1354","030214","Dpto. Apurimac   Prov. Andahuaylas   Dist. San Miguel de Chaccrampa",37.46
"1359","030215","Dpto. Apurimac   Prov. Andahuaylas   Dist. Santa Maria de Chicmo",48.61
"1364","030216","Dpto. Apurimac   Prov. Andahuaylas   Dist. Talavera",51.52
"1369","030217","Dpto. Apurimac   Prov. Andahuaylas   Dist. Tumay Huaraca",34.05
"1374","030218","Dpto. Apurimac   Prov. Andahuaylas   Dist. Turpo",31.04
"1379","030219","Dpto. Apurimac   Prov. Andahuaylas   Dist. Kaquiabamba",55.1
"1384","030301","Dpto. Apurimac   Prov. Antabamba   Dist. Antabamba",63.58
"1389","030302","Dpto. Apurimac   Prov. Antabamba   Dist. El oro",66.28
"1394","030303","Dpto. Apurimac   Prov. Antabamba   Dist. Huaquirca",78.06
"1399","030304","Dpto. Apurimac   Prov. Antabamba   Dist. Juan Espinoza Medrano",85.22
"1404","030305","Dpto. Apurimac   Prov. Antabamba   Dist. Oropesa",56.87
"1409","030306","Dpto. Apurimac   Prov. Antabamba   Dist. Pachaconas",78.96
"1414","030307","Dpto. Apurimac   Prov. Antabamba   Dist. Sabaino",74.02
"1419","030401","Dpto. Apurimac   Prov. Aymaraes   Dist. Chalhuanca",79.88
"1424","030402","Dpto. Apurimac   Prov. Aymaraes   Dist. Capaya",37.86
"1429","030403","Dpto. Apurimac   Prov. Aymaraes   Dist. Caraybamba",92.59
"1434","030404","Dpto. Apurimac   Prov. Aymaraes   Dist. Chapimarca",52.27
"1439","030405","Dpto. Apurimac   Prov. Aymaraes   Dist. Colcabamba",67.68
"1444","030406","Dpto. Apurimac   Prov. Aymaraes   Dist. Cotaruse",19.81
"1449","030407","Dpto. Apurimac   Prov. Aymaraes   Dist. Huayllo",28.08
"1454","030408","Dpto. Apurimac   Prov. Aymaraes   Dist. Justo Apu Sahuaraura",36.74
"1459","030409","Dpto. Apurimac   Prov. Aymaraes   Dist. Lucre",23.3
"1464","030410","Dpto. Apurimac   Prov. Aymaraes   Dist. Pocohuanca",52.33
"1469","030411","Dpto. Apurimac   Prov. Aymaraes   Dist. San Juan de Chac<U+00F1>a",65.31
"1474","030412","Dpto. Apurimac   Prov. Aymaraes   Dist. Sa<U+00F1>ayca",42.34
"1479","030413","Dpto. Apurimac   Prov. Aymaraes   Dist. Soraya",19.07
"1484","030414","Dpto. Apurimac   Prov. Aymaraes   Dist. Tapairihua",13.05
"1489","030415","Dpto. Apurimac   Prov. Aymaraes   Dist. Tintay",24.25
"1494","030416","Dpto. Apurimac   Prov. Aymaraes   Dist. Toraya",32.54
"1499","030417","Dpto. Apurimac   Prov. Aymaraes   Dist. Yanaca",54.82
"1504","030501","Dpto. Apurimac   Prov. Cotabambas   Dist. Tambobamba",30.89
"1509","030502","Dpto. Apurimac   Prov. Cotabambas   Dist. Cotabambas",33.53
"1514","030503","Dpto. Apurimac   Prov. Cotabambas   Dist. Coyllurqui",13.68
"1519","030504","Dpto. Apurimac   Prov. Cotabambas   Dist. Haquira",37.02
"1524","030505","Dpto. Apurimac   Prov. Cotabambas   Dist. Mara",17.88
"1529","030506","Dpto. Apurimac   Prov. Cotabambas   Dist. Challhuahuacho",22.77
"1534","030601","Dpto. Apurimac   Prov. Chincheros   Dist. Chincheros",37.21
"1539","030602","Dpto. Apurimac   Prov. Chincheros   Dist. Anco_huallo",69.54
"1544","030603","Dpto. Apurimac   Prov. Chincheros   Dist. Cocharcas",23.47
"1549","030604","Dpto. Apurimac   Prov. Chincheros   Dist. Huaccana",27.64
"1554","030605","Dpto. Apurimac   Prov. Chincheros   Dist. Ocobamba",9.77
"1559","030606","Dpto. Apurimac   Prov. Chincheros   Dist. Ongoy",12.1
"1564","030607","Dpto. Apurimac   Prov. Chincheros   Dist. Uranmarca",32.96
"1569","030608","Dpto. Apurimac   Prov. Chincheros   Dist. Ranracancha",23.35
"1574","030701","Dpto. Apurimac   Prov. Grau   Dist. Chuquibambilla",47.58
"1579","030702","Dpto. Apurimac   Prov. Grau   Dist. Curpahuasi",18.14
"1584","030703","Dpto. Apurimac   Prov. Grau   Dist. Gamarra",10.67
"1589","030704","Dpto. Apurimac   Prov. Grau   Dist. Huayllati",28.14
"1594","030705","Dpto. Apurimac   Prov. Grau   Dist. Mamara",70.68
"1599","030706","Dpto. Apurimac   Prov. Grau   Dist. Micaela Bastidas",42.79
"1604","030707","Dpto. Apurimac   Prov. Grau   Dist. Pataypampa",50.29
"1609","030708","Dpto. Apurimac   Prov. Grau   Dist. Progreso",26
"1614","030709","Dpto. Apurimac   Prov. Grau   Dist. San Antonio",86.98
"1619","030710","Dpto. Apurimac   Prov. Grau   Dist. Santa Rosa",46.49
"1624","030711","Dpto. Apurimac   Prov. Grau   Dist. Turpay",77.61
"1629","030712","Dpto. Apurimac   Prov. Grau   Dist. Vilcabamba",81.7
"1634","030713","Dpto. Apurimac   Prov. Grau   Dist. Virundo",89.98
"1639","030714","Dpto. Apurimac   Prov. Grau   Dist. Curasco",30.43
"1644","040101","Dpto. Arequipa   Prov. Arequipa   Dist. Arequipa",100
"1648","040102","Dpto. Arequipa   Prov. Arequipa   Dist. Alto Selva Alegre",100
"1652","040103","Dpto. Arequipa   Prov. Arequipa   Dist. Cayma",99.99
