"","Ubigeo","Distrito","por_ur"
"1657","040104","Dpto. Arequipa   Prov. Arequipa   Dist. Cerro Colorado",99.5
"1662","040105","Dpto. Arequipa   Prov. Arequipa   Dist. Characato",88.57
"1667","040106","Dpto. Arequipa   Prov. Arequipa   Dist. Chiguata",69.58
"1672","040107","Dpto. Arequipa   Prov. Arequipa   Dist. Jacobo Hunter",100
"1676","040108","Dpto. Arequipa   Prov. Arequipa   Dist. La Joya",69.38
"1681","040109","Dpto. Arequipa   Prov. Arequipa   Dist. Mariano Melgar",100
"1685","040110","Dpto. Arequipa   Prov. Arequipa   Dist. Miraflores",100
"1689","040111","Dpto. Arequipa   Prov. Arequipa   Dist. Mollebaya",30.21
"1694","040112","Dpto. Arequipa   Prov. Arequipa   Dist. Paucarpata",100
"1698","040113","Dpto. Arequipa   Prov. Arequipa   Dist. Pocsi",56.64
"1703","040114","Dpto. Arequipa   Prov. Arequipa   Dist. Polobaya",36.75
"1708","040115","Dpto. Arequipa   Prov. Arequipa   Dist. Queque<U+00F1>a",75.8
"1713","040116","Dpto. Arequipa   Prov. Arequipa   Dist. Sabandia",95.59
"1718","040117","Dpto. Arequipa   Prov. Arequipa   Dist. Sachaca",100
"1722","040118","Dpto. Arequipa   Prov. Arequipa   Dist. San Juan de Siguas",33.2
"1727","040119","Dpto. Arequipa   Prov. Arequipa   Dist. San Juan de Tarucani",30.77
"1732","040120","Dpto. Arequipa   Prov. Arequipa   Dist. Santa Isabel de Siguas",6.34
"1737","040121","Dpto. Arequipa   Prov. Arequipa   Dist. Santa Rita de Siguas",90.08
"1742","040122","Dpto. Arequipa   Prov. Arequipa   Dist. Socabaya",99.32
"1747","040123","Dpto. Arequipa   Prov. Arequipa   Dist. Tiabaya",95.63
"1752","040124","Dpto. Arequipa   Prov. Arequipa   Dist. Uchumayo",87.62
"1757","040125","Dpto. Arequipa   Prov. Arequipa   Dist. Vitor",52.99
"1762","040126","Dpto. Arequipa   Prov. Arequipa   Dist. Yanahuara",100
"1766","040127","Dpto. Arequipa   Prov. Arequipa   Dist. Yarabamba",64.26
"1771","040128","Dpto. Arequipa   Prov. Arequipa   Dist. Yura",92.27
"1776","040129","Dpto. Arequipa   Prov. Arequipa   Dist. Jose Luis Bustamante y Rivero",100
"1780","040201","Dpto. Arequipa   Prov. Camana   Dist. Camana",99.21
"1785","040202","Dpto. Arequipa   Prov. Camana   Dist. Jose Maria Quimper",92.16
"1790","040203","Dpto. Arequipa   Prov. Camana   Dist. Mariano Nicolas Valcarcel",14.35
"1795","040204","Dpto. Arequipa   Prov. Camana   Dist. Mariscal C<U+00E1>ceres",86.12
"1800","040205","Dpto. Arequipa   Prov. Camana   Dist. Nicolas de Pierola",88.41
"1805","040206","Dpto. Arequipa   Prov. Camana   Dist. Oco<U+00F1>a",78.94
"1810","040207","Dpto. Arequipa   Prov. Camana   Dist. Quilca",25.68
"1815","040208","Dpto. Arequipa   Prov. Camana   Dist. Samuel Pastor",91.34
"1820","040301","Dpto. Arequipa   Prov. Caraveli   Dist. Caraveli",97.99
"1825","040302","Dpto. Arequipa   Prov. Caraveli   Dist. Acari",87.88
"1830","040303","Dpto. Arequipa   Prov. Caraveli   Dist. Atico",78.96
"1835","040304","Dpto. Arequipa   Prov. Caraveli   Dist. Atiquipa",17.7
"1840","040305","Dpto. Arequipa   Prov. Caraveli   Dist. Bella Uni<U+00F3>n",33.52
"1845","040306","Dpto. Arequipa   Prov. Caraveli   Dist. Cahuacho",28.6
"1850","040307","Dpto. Arequipa   Prov. Caraveli   Dist. Chala",91.95
"1855","040308","Dpto. Arequipa   Prov. Caraveli   Dist. Chaparra",42.67
"1860","040309","Dpto. Arequipa   Prov. Caraveli   Dist. Huanuhuanu",3.63
"1865","040310","Dpto. Arequipa   Prov. Caraveli   Dist. Jaqui",83.2
"1870","040311","Dpto. Arequipa   Prov. Caraveli   Dist. Lomas",89.52
"1875","040312","Dpto. Arequipa   Prov. Caraveli   Dist. Quicacha",16.55
"1880","040313","Dpto. Arequipa   Prov. Caraveli   Dist. Yauca",84.43
"1885","040401","Dpto. Arequipa   Prov. Castilla   Dist. Aplao",54.76
"1890","040402","Dpto. Arequipa   Prov. Castilla   Dist. Andagua",65.52
"1895","040403","Dpto. Arequipa   Prov. Castilla   Dist. Ayo",72.78
"1900","040404","Dpto. Arequipa   Prov. Castilla   Dist. Chachas",28.92
"1905","040405","Dpto. Arequipa   Prov. Castilla   Dist. Chilcaymarca",56.65
"1910","040406","Dpto. Arequipa   Prov. Castilla   Dist. Choco",34.02
"1915","040407","Dpto. Arequipa   Prov. Castilla   Dist. Huancarqui",82.42
"1920","040408","Dpto. Arequipa   Prov. Castilla   Dist. Machaguay",40.61
"1925","040409","Dpto. Arequipa   Prov. Castilla   Dist. Orcopampa",81.26
"1930","040410","Dpto. Arequipa   Prov. Castilla   Dist. Pampacolca",56.99
"1935","040411","Dpto. Arequipa   Prov. Castilla   Dist. Tipan",25.55
"1940","040412","Dpto. Arequipa   Prov. Castilla   Dist. U<U+00F1>on",71.86
"1945","040413","Dpto. Arequipa   Prov. Castilla   Dist. Uraca",37.09
"1950","040414","Dpto. Arequipa   Prov. Castilla   Dist. Viraco",65.62
"1955","040501","Dpto. Arequipa   Prov. Caylloma   Dist. Chivay",96.2
"1960","040502","Dpto. Arequipa   Prov. Caylloma   Dist. Achoma",91.66
"1965","040503","Dpto. Arequipa   Prov. Caylloma   Dist. Cabanaconde",95.29
"1970","040504","Dpto. Arequipa   Prov. Caylloma   Dist. Callalli",42.37
"1975","040505","Dpto. Arequipa   Prov. Caylloma   Dist. Caylloma",52.59
"1980","040506","Dpto. Arequipa   Prov. Caylloma   Dist. Coporaque",85.36
"1985","040507","Dpto. Arequipa   Prov. Caylloma   Dist. Huambo",59.22
"1990","040508","Dpto. Arequipa   Prov. Caylloma   Dist. Huanca",50.46
"1995","040509","Dpto. Arequipa   Prov. Caylloma   Dist. Ichupampa",93.79
"2000","040510","Dpto. Arequipa   Prov. Caylloma   Dist. Lari",91.19
"2005","040511","Dpto. Arequipa   Prov. Caylloma   Dist. Lluta",40.08
"2010","040512","Dpto. Arequipa   Prov. Caylloma   Dist. Maca",99.13
"2015","040513","Dpto. Arequipa   Prov. Caylloma   Dist. Madrigal",97.87
"2020","040514","Dpto. Arequipa   Prov. Caylloma   Dist. San Antonio de Chuca",32.23
"2025","040515","Dpto. Arequipa   Prov. Caylloma   Dist. Sibayo",65.79
"2030","040516","Dpto. Arequipa   Prov. Caylloma   Dist. Tapay",18.03
"2035","040517","Dpto. Arequipa   Prov. Caylloma   Dist. Tisco",25.37
"2040","040518","Dpto. Arequipa   Prov. Caylloma   Dist. Tuti",84.12
"2045","040519","Dpto. Arequipa   Prov. Caylloma   Dist. Yanque",85.08
"2050","040520","Dpto. Arequipa   Prov. Caylloma   Dist. Majes",62.81
"2055","040601","Dpto. Arequipa   Prov. Condesuyos   Dist. Chuquibamba",77.28
"2060","040602","Dpto. Arequipa   Prov. Condesuyos   Dist. Andaray",48.82
"2065","040603","Dpto. Arequipa   Prov. Condesuyos   Dist. Cayarani",12.39
"2070","040604","Dpto. Arequipa   Prov. Condesuyos   Dist. Chichas",22.24
"2075","040605","Dpto. Arequipa   Prov. Condesuyos   Dist. Iray",43.14
"2080","040606","Dpto. Arequipa   Prov. Condesuyos   Dist. Rio Grande",74.9
"2085","040607","Dpto. Arequipa   Prov. Condesuyos   Dist. Salamanca",51.6
"2090","040608","Dpto. Arequipa   Prov. Condesuyos   Dist. Yanaquihua",11.22
"2095","040701","Dpto. Arequipa   Prov. Islay   Dist. Mollendo",94.84
"2100","040702","Dpto. Arequipa   Prov. Islay   Dist. Cocachacra",80.89
"2105","040703","Dpto. Arequipa   Prov. Islay   Dist. Dean Valdivia",81.86
"2110","040704","Dpto. Arequipa   Prov. Islay   Dist. Islay",100
"2114","040705","Dpto. Arequipa   Prov. Islay   Dist. Mejia",60.34
"2119","040706","Dpto. Arequipa   Prov. Islay   Dist. Punta de Bombon",96.33
"2124","040801","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Cotahuasi",63.96
"2129","040802","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Alca",71.74
"2134","040803","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Charcana",56.72
"2139","040804","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Huaynacotas",44.48
"2144","040805","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Pampamarca",36.85
"2149","040806","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Puyca",33.3
"2154","040807","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Quechualla",21.22
"2159","040808","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Sayla",27.61
"2164","040809","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Tauria",53.06
"2169","040810","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Tomepampa",40.02
"2174","040811","Dpto. Arequipa   Prov. La Uni<U+00F3>n   Dist. Toro",36.22
"2179","050101","Dpto. Ayacucho   Prov. Huamanga   Dist. Ayacucho",98.1
"2184","050102","Dpto. Ayacucho   Prov. Huamanga   Dist. Acocro",11.36
"2189","050103","Dpto. Ayacucho   Prov. Huamanga   Dist. Acos Vinchos",12.22
"2194","050105","Dpto. Ayacucho   Prov. Huamanga   Dist. Chiara",25.5
"2199","050106","Dpto. Ayacucho   Prov. Huamanga   Dist. Ocros",19.16
"2204","050107","Dpto. Ayacucho   Prov. Huamanga   Dist. Pacaycasa",45.29
"2209","050108","Dpto. Ayacucho   Prov. Huamanga   Dist. Quinua",38.27
"2214","050109","Dpto. Ayacucho   Prov. Huamanga   Dist. San Jose de Ticllas",6.92
"2219","050110","Dpto. Ayacucho   Prov. Huamanga   Dist. San Juan Bautista",97.99
"2224","050111","Dpto. Ayacucho   Prov. Huamanga   Dist. Santiago de Pischa",34.42
"2229","050112","Dpto. Ayacucho   Prov. Huamanga   Dist. Socos",16.38
"2234","050113","Dpto. Ayacucho   Prov. Huamanga   Dist. Tambillo",3.79
"2239","050114","Dpto. Ayacucho   Prov. Huamanga   Dist. Vinchos",4.24
"2244","050115","Dpto. Ayacucho   Prov. Huamanga   Dist. Jesus Nazareno",92.97
"2249","050201","Dpto. Ayacucho   Prov. Cangallo   Dist. Cangallo",35.27
"2254","050202","Dpto. Ayacucho   Prov. Cangallo   Dist. Chuschi",44.78
"2259","050203","Dpto. Ayacucho   Prov. Cangallo   Dist. Los Morochucos",35.25
"2264","050204","Dpto. Ayacucho   Prov. Cangallo   Dist. Maria Parado de Bellido",15.44
"2269","050205","Dpto. Ayacucho   Prov. Cangallo   Dist. Paras",21.15
"2274","050206","Dpto. Ayacucho   Prov. Cangallo   Dist. Totos",43.86
"2279","050301","Dpto. Ayacucho   Prov. Huanca sancos   Dist. Sancos",85.79
"2284","050302","Dpto. Ayacucho   Prov. Huanca sancos   Dist. Carapo",75.81
"2289","050303","Dpto. Ayacucho   Prov. Huanca sancos   Dist. Sacsamarca",54.37
"2294","050304","Dpto. Ayacucho   Prov. Huanca sancos   Dist. Santiago de Lucanamarca",44
"2299","050401","Dpto. Ayacucho   Prov. Huanta   Dist. Huanta",69.57
"2304","050402","Dpto. Ayacucho   Prov. Huanta   Dist. Ayahuanco",12.15
"2309","050403","Dpto. Ayacucho   Prov. Huanta   Dist. Huamanguilla",27.29
"2314","050404","Dpto. Ayacucho   Prov. Huanta   Dist. Iguain",17.28
"2319","050405","Dpto. Ayacucho   Prov. Huanta   Dist. Luricocha",27.04
"2324","050406","Dpto. Ayacucho   Prov. Huanta   Dist. Santillana",8.66
"2329","050407","Dpto. Ayacucho   Prov. Huanta   Dist. Sivia",33.69
"2334","050408","Dpto. Ayacucho   Prov. Huanta   Dist. Llochegua",48.29
"2339","050501","Dpto. Ayacucho   Prov. La mar   Dist. San miguel",44.03
"2344","050502","Dpto. Ayacucho   Prov. La mar   Dist. Anco",17.54
"2349","050503","Dpto. Ayacucho   Prov. La mar   Dist. Ayna",69.04
"2354","050504","Dpto. Ayacucho   Prov. La mar   Dist. Chilcas",9.63
"2359","050505","Dpto. Ayacucho   Prov. La mar   Dist. Chungui",8.73
"2364","050506","Dpto. Ayacucho   Prov. La mar   Dist. Luis Carranza",6.08
"2369","050507","Dpto. Ayacucho   Prov. La mar   Dist. Santa Rosa",57.5
"2374","050508","Dpto. Ayacucho   Prov. La mar   Dist. Tambo",51.13
"2379","050601","Dpto. Ayacucho   Prov. Lucanas   Dist. Puquio",92.13
"2384","050602","Dpto. Ayacucho   Prov. Lucanas   Dist. Aucara",78.16
"2389","050603","Dpto. Ayacucho   Prov. Lucanas   Dist. Cabana",91.24
"2394","050604","Dpto. Ayacucho   Prov. Lucanas   Dist. Carmen Salcedo",86.49
"2399","050605","Dpto. Ayacucho   Prov. Lucanas   Dist. Chavi<U+00F1>a",66.54
"2404","050606","Dpto. Ayacucho   Prov. Lucanas   Dist. Chipao",50.37
"2409","050607","Dpto. Ayacucho   Prov. Lucanas   Dist. Huac-Huas",26.07
"2414","050608","Dpto. Ayacucho   Prov. Lucanas   Dist. Laramate",42.53
"2419","050609","Dpto. Ayacucho   Prov. Lucanas   Dist. Leoncio Prado",21.23
"2424","050610","Dpto. Ayacucho   Prov. Lucanas   Dist. Llauta",31.56
"2429","050611","Dpto. Ayacucho   Prov. Lucanas   Dist. Lucanas",52.58
"2434","050612","Dpto. Ayacucho   Prov. Lucanas   Dist. Oca<U+00F1>a",32.23
"2439","050613","Dpto. Ayacucho   Prov. Lucanas   Dist. Otoca",30.63
"2444","050614","Dpto. Ayacucho   Prov. Lucanas   Dist. Saisa",57.49
"2449","050615","Dpto. Ayacucho   Prov. Lucanas   Dist. San Cristobal",57.41
"2454","050616","Dpto. Ayacucho   Prov. Lucanas   Dist. San Juan",89.21
"2459","050617","Dpto. Ayacucho   Prov. Lucanas   Dist. San Pedro",47.54
"2464","050618","Dpto. Ayacucho   Prov. Lucanas   Dist. San Pedro de Palco",13.02
"2469","050619","Dpto. Ayacucho   Prov. Lucanas   Dist. Sancos",17.16
"2474","050620","Dpto. Ayacucho   Prov. Lucanas   Dist. Santa Ana de Huaycahuacho",97.99
"2479","050621","Dpto. Ayacucho   Prov. Lucanas   Dist. Santa Lucia",17.75
"2484","050701","Dpto. Ayacucho   Prov. Parinacochas   Dist. Coracora",68.6
"2489","050702","Dpto. Ayacucho   Prov. Parinacochas   Dist. Chumpi",68.06
"2494","050703","Dpto. Ayacucho   Prov. Parinacochas   Dist. Coronel Casta<U+00F1>eda",15.12
"2499","050704","Dpto. Ayacucho   Prov. Parinacochas   Dist. Pacapausa",32.36
"2504","050705","Dpto. Ayacucho   Prov. Parinacochas   Dist. Pullo",66.34
"2509","050706","Dpto. Ayacucho   Prov. Parinacochas   Dist. Puyusca",48.77
"2514","050707","Dpto. Ayacucho   Prov. Parinacochas   Dist. San Francisco de Ravacayco",25.85
"2519","050708","Dpto. Ayacucho   Prov. Parinacochas   Dist. Upahuacho",10.15
"2524","050801","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Pausa",75.11
"2529","050802","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Colta",40.65
"2534","050803","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Corculla",53.53
"2539","050804","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Lampa",77.84
"2544","050805","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Marcabamba",79.36
"2549","050806","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Oyolo",53.34
"2554","050807","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Pararca",64.75
"2559","050808","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. San Javier de Alpabamba",15.69
"2564","050809","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. San Jose de Ushua",67.91
"2569","050810","Dpto. Ayacucho   Prov. Paucar del Sara Sara   Dist. Sara Sara",82.75
"2574","050901","Dpto. Ayacucho   Prov. Sucre   Dist. Querobamba",61.55
"2579","050902","Dpto. Ayacucho   Prov. Sucre   Dist. Belen",79.06
"2584","050903","Dpto. Ayacucho   Prov. Sucre   Dist. Chalcos",35.09
"2589","050904","Dpto. Ayacucho   Prov. Sucre   Dist. Chilcayoc",46.41
"2594","050905","Dpto. Ayacucho   Prov. Sucre   Dist. Huaca<U+00F1>a",61.53
"2599","050906","Dpto. Ayacucho   Prov. Sucre   Dist. Morcolla",66.25
"2604","050907","Dpto. Ayacucho   Prov. Sucre   Dist. Paico",91.92
"2609","050908","Dpto. Ayacucho   Prov. Sucre   Dist. San Pedro de Larcay",57.01
"2614","050909","Dpto. Ayacucho   Prov. Sucre   Dist. San Salvador de Quije",22.19
"2619","050910","Dpto. Ayacucho   Prov. Sucre   Dist. Santiago de Paucaray",75.9
"2624","050911","Dpto. Ayacucho   Prov. Sucre   Dist. Soras",85.76
"2629","051001","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Huancapi",89.5
"2634","051002","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Alcamenca",77.58
"2639","051003","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Apongo",71.5
"2644","051004","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Asquipata",36.48
"2649","051005","Dpto. Ayacucho   Prov. Victor Fafardo   Dist. Canaria",84.61
"2654","051006","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Cayara",68.84
"2659","051007","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Colca",58.52
"2664","051008","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Huamanquiquia",40.76
"2669","051009","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Huancaraylla",95.81
"2674","051010","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Huaya",92.13
"2679","051011","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Sarhua",85.9
"2684","051012","Dpto. Ayacucho   Prov. Victor Fajardo   Dist. Vilcanchos",32.04
"2689","051101","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Vilcas Huaman",35.27
"2694","051102","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Accomarca",76.57
"2699","051103","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Carhuanca",55.53
"2704","051104","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Concepci<U+00F3>n",12.65
"2709","051105","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Huambalpa",19.58
"2714","051106","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Independencia",33.61
"2719","051107","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Saurama",22.27
"2724","051108","Dpto. Ayacucho   Prov. Vilcas Huaman   Dist. Vischongo",25.85
"2729","060101","Dpto. Cajamarca   Prov. Cajamarca   Dist. Cajamarca",79.74
"2734","060102","Dpto. Cajamarca   Prov. Cajamarca   Dist. Asunci<U+00F3>n",8
"2739","060103","Dpto. Cajamarca   Prov. Cajamarca   Dist. Chetilla",10.11
"2744","060104","Dpto. Cajamarca   Prov. Cajamarca   Dist. Cospan",8.46
"2749","060105","Dpto. Cajamarca   Prov. Cajamarca   Dist. Enca<U+00F1>ada",5.27
"2754","060106","Dpto. Cajamarca   Prov. Cajamarca   Dist. Jesus",16.45
"2759","060107","Dpto. Cajamarca   Prov. Cajamarca   Dist. Llacanora",13.21
"2764","060108","Dpto. Cajamarca   Prov. Cajamarca   Dist. Los Ba<U+00F1>os del Inca",34.9
"2769","060109","Dpto. Cajamarca   Prov. Cajamarca   Dist. Magdalena",33.05
"2774","060110","Dpto. Cajamarca   Prov. Cajamarca   Dist. Matara",20.34
"2779","060111","Dpto. Cajamarca   Prov. Cajamarca   Dist. Namora",15.58
"2784","060112","Dpto. Cajamarca   Prov. Cajamarca   Dist. San juan",18.96
"2789","060201","Dpto. Cajamarca   Prov. Cajabamba   Dist. Cajabamba",51.74
"2794","060202","Dpto. Cajamarca   Prov. Cajabamba   Dist. Cachachi",3.65
"2799","060203","Dpto. Cajamarca   Prov. Cajabamba   Dist. Condebamba",4.83
"2804","060204","Dpto. Cajamarca   Prov. Cajabamba   Dist. Sitacocha",24.57
"2809","060301","Dpto. Cajamarca   Prov. Celendin   Dist. Celendin",67.91
"2814","060302","Dpto. Cajamarca   Prov. Celendin   Dist. Chumuch",7.59
"2819","060303","Dpto. Cajamarca   Prov. Celendin   Dist. Cortegana",4.79
"2824","060304","Dpto. Cajamarca   Prov. Celendin   Dist. Huasmin",1.63
"2829","060305","Dpto. Cajamarca   Prov. Celendin   Dist. Jorge Chavez",34.52
"2834","060306","Dpto. Cajamarca   Prov. Celendin   Dist. Jose Galvez",31.16
"2839","060307","Dpto. Cajamarca   Prov. Celendin   Dist. Miguel Iglesias",11.06
"2844","060308","Dpto. Cajamarca   Prov. Celendin   Dist. Oxamarca",6.99
"2849","060309","Dpto. Cajamarca   Prov. Celendin   Dist. Sorochuco",7.26
"2854","060310","Dpto. Cajamarca   Prov. Celendin   Dist. Sucre",19.15
"2859","060311","Dpto. Cajamarca   Prov. Celendin   Dist. Utco",6.13
"2864","060312","Dpto. Cajamarca   Prov. Celendin   Dist. La Libertad de Pallan",7.88
"2869","060401","Dpto. Cajamarca   Prov. Chota   Dist. Chota",35.97
"2874","060402","Dpto. Cajamarca   Prov. Chota   Dist. Anguia",7.99
"2879","060403","Dpto. Cajamarca   Prov. Chota   Dist. Chadin",10.34
"2884","060404","Dpto. Cajamarca   Prov. Chota   Dist. Chiguirip",8.61
"2889","060405","Dpto. Cajamarca   Prov. Chota   Dist. Chimban",21.51
"2894","060406","Dpto. Cajamarca   Prov. Chota   Dist. Choropampa",9.66
"2899","060407","Dpto. Cajamarca   Prov. Chota   Dist. Cochabamba",19.09
"2904","060408","Dpto. Cajamarca   Prov. Chota   Dist. Conchan",6.49
"2909","060409","Dpto. Cajamarca   Prov. Chota   Dist. Huambos",11.82
"2914","060410","Dpto. Cajamarca   Prov. Chota   Dist. Lajas",16.21
"2919","060411","Dpto. Cajamarca   Prov. Chota   Dist. Llama",11.95
"2924","060412","Dpto. Cajamarca   Prov. Chota   Dist. Miracosta",4.84
"2929","060413","Dpto. Cajamarca   Prov. Chota   Dist. Paccha",19.42
"2934","060414","Dpto. Cajamarca   Prov. Chota   Dist. Pion",54.22
"2939","060415","Dpto. Cajamarca   Prov. Chota   Dist. Querocoto",10.47
"2944","060416","Dpto. Cajamarca   Prov. Chota   Dist. San Juan de Licupis",17.53
"2949","060417","Dpto. Cajamarca   Prov. Chota   Dist. Tacabamba",18.44
"2954","060418","Dpto. Cajamarca   Prov. Chota   Dist. Tocmoche",21.94
"2959","060419","Dpto. Cajamarca   Prov. Chota   Dist. Chalamarca",7.36
"2964","060501","Dpto. Cajamarca   Prov. Contumaza   Dist. Contumaza",36.97
"2969","060502","Dpto. Cajamarca   Prov. Contumaza   Dist. Chilete",77.33
"2974","060503","Dpto. Cajamarca   Prov. Contumaza   Dist. Cupisnique",14.88
"2979","060504","Dpto. Cajamarca   Prov. Contumaza   Dist. Guzmango",7.54
"2984","060505","Dpto. Cajamarca   Prov. Contumaza   Dist. San Benito",15.35
"2989","060506","Dpto. Cajamarca   Prov. Contumaza   Dist. Santa Cruz de Toledo",10.41
"2994","060507","Dpto. Cajamarca   Prov. Contumaza   Dist. Tantarica",54.08
"2999","060508","Dpto. Cajamarca   Prov. Contumaza   Dist. Yonan",66.37
"3004","060601","Dpto. Cajamarca   Prov. Cutervo   Dist. Cutervo",31.52
"3009","060602","Dpto. Cajamarca   Prov. Cutervo   Dist. Callayuc",5.01
"3014","060603","Dpto. Cajamarca   Prov. Cutervo   Dist. Choros",10.29
"3019","060604","Dpto. Cajamarca   Prov. Cutervo   Dist. Cujillo",9.5
"3024","060605","Dpto. Cajamarca   Prov. Cutervo   Dist. La Ramada",12.16
"3029","060606","Dpto. Cajamarca   Prov. Cutervo   Dist. Pimpingos",8.03
"3034","060607","Dpto. Cajamarca   Prov. Cutervo   Dist. Querocotillo",5.44
"3039","060608","Dpto. Cajamarca   Prov. Cutervo   Dist. San Andres de Cutervo",21.62
"3044","060609","Dpto. Cajamarca   Prov. Cutervo   Dist. San Juan de Cutervo",21.73
"3049","060610","Dpto. Cajamarca   Prov. Cutervo   Dist. San Luis de Lucma",12.45
"3054","060611","Dpto. Cajamarca   Prov. Cutervo   Dist. Santa Cruz",8.14
"3059","060612","Dpto. Cajamarca   Prov. Cutervo   Dist. Santo Domingo de la Capilla",14.48
"3064","060613","Dpto. Cajamarca   Prov. Cutervo   Dist. Santo Tomas",14.75
"3069","060614","Dpto. Cajamarca   Prov. Cutervo   Dist. Socota",20.58
"3074","060615","Dpto. Cajamarca   Prov. Cutervo   Dist. Toribio Casanova",26.04
"3079","060701","Dpto. Cajamarca   Prov. Hualgayoc   Dist. Bambamarca",25.59
"3084","060702","Dpto. Cajamarca   Prov. Hualgayoc   Dist. Chugur",6.59
"3089","060703","Dpto. Cajamarca   Prov. Hualgayoc   Dist. Hualgayoc",14.29
"3094","060801","Dpto. Cajamarca   Prov. Jaen   Dist. Jaen",83.19
"3099","060802","Dpto. Cajamarca   Prov. Jaen   Dist. Bellavista",41.95
"3104","060803","Dpto. Cajamarca   Prov. Jaen   Dist. Chontali",13.85
"3109","060804","Dpto. Cajamarca   Prov. Jaen   Dist. Colasay",14.34
"3114","060805","Dpto. Cajamarca   Prov. Jaen   Dist. Huabal",9.47
"3119","060806","Dpto. Cajamarca   Prov. Jaen   Dist. Las Pirias",17.91
"3124","060807","Dpto. Cajamarca   Prov. Jaen   Dist. Pomahuaca",17.95
"3129","060808","Dpto. Cajamarca   Prov. Jaen   Dist. Pucara",47.76
"3134","060809","Dpto. Cajamarca   Prov. Jaen   Dist. Sallique",11.46
"3139","060810","Dpto. Cajamarca   Prov. Jaen   Dist. San Felipe",6.74
"3144","060811","Dpto. Cajamarca   Prov. Jaen   Dist. San Jose del Alto",7.66
"3149","060812","Dpto. Cajamarca   Prov. Jaen   Dist. Santa rosa",20.48
"3154","060901","Dpto. Cajamarca   Prov. San Ignacio   Dist. San Ignacio",34.87
"3159","060902","Dpto. Cajamarca   Prov. San Ignacio   Dist. Chirinos",19.11
"3164","060903","Dpto. Cajamarca   Prov. San Ignacio   Dist. Huarango",10.78
"3169","060904","Dpto. Cajamarca   Prov. San Ignacio   Dist. La Coipa",8.39
"3174","060905","Dpto. Cajamarca   Prov. San Ignacio   Dist. Namballe",14.79
"3179","060906","Dpto. Cajamarca   Prov. San Ignacio   Dist. San Jose de Lourdes",5.59
"3184","060907","Dpto. Cajamarca   Prov. San Ignacio   Dist. Tabaconas",2.5
"3189","061001","Dpto. Cajamarca   Prov. San Marcos   Dist. Pedro Galvez",45.43
"3194","061002","Dpto. Cajamarca   Prov. San Marcos   Dist. Chancay",15.23
"3199","061003","Dpto. Cajamarca   Prov. San Marcos   Dist. Eduardo Villanueva",23.32
"3204","061004","Dpto. Cajamarca   Prov. San Marcos   Dist. Gregorio Pita",5.71
"3209","061005","Dpto. Cajamarca   Prov. San Marcos   Dist. Ichocan",28.66
"3214","061006","Dpto. Cajamarca   Prov. San Marcos   Dist. Jose Manuel Quiroz",15.01
"3219","061007","Dpto. Cajamarca   Prov. San Marcos   Dist. Jose Sabogal",2.12
"3224","061101","Dpto. Cajamarca   Prov. San Miguel   Dist. San Miguel",23.24
"3229","061102","Dpto. Cajamarca   Prov. San Miguel   Dist. Bol<U+00ED>var",34.17
"3234","061103","Dpto. Cajamarca   Prov. San Miguel   Dist. Calquis",2.19
